IQRL,IQRR,SkewnessL,SkewnessR,KurtosisL,KurtosisR,Corr,EnergyL,EnergyR,SEL,SER,MeanL,MeanR,MedianL,MedianR,STDL,STDR,VarL,VarR,MFCCiqr1,MFCCiqr2,MFCCiqr3,MFCCiqr4,MFCCskewness1,MFCCskewness2,MFCCskewness3,MFCCskewness4,MFCCkurtosis1,MFCCkurtosis2,MFCCkurtosis3,MFCCkurtosis4,MFCCcorr1,MFCCcorr2,letter,smplID
0.0010986328125,0.0009765625,0.0147634259151115,-0.00422865855506723,6.35115195939543,5.69271725273406,-0.000530815421414519,0.000427246093750005,0.0050048828125,0.591204082266798,0.590895070924811,-1.29860155420968e-05,-1.6174375286393e-05,-3.0517578125e-05,-3.0517578125e-05,0.00118481637405824,0.00105148850601742,1.40378984023652e-06,1.10562807828674e-06,0.250633958715811,0.260683600862721,0.154079641671128,0.296460567808643,0.376688474486596,0.432027013266008,-0.629412066810575,0.0916769741032833,3.62573257299647,2.0911846713,2.59738150539004,2.17826533856253,-0.178076876837997,-0.394968625942525,A,A1
0.001068115234375,0.000885009765625,-0.000877959914409983,-0.00173793679206079,6.01760294870253,5.4030584291356,0.0885787535429805,6.10351562499998e-05,0.00030517578125,0.592351723117756,0.597286987531693,-1.49018761635971e-05,-1.48073094980758e-05,0,0,0.00113244308186898,0.000890583556590105,1.28242733367291e-06,7.93139071268681e-07,0.35711166880933,0.306046934857687,0.229346548402792,0.234619772238444,-0.378006011331416,0.240546771517239,-0.452731263434936,0.391745917014356,2.71189953822019,1.97448490858258,3.90172340731952,2.22394718640846,0.403137994065399,0.0124353065285216,A,A2
0.001373291015625,0.001068115234375,-0.000704144154341718,-0.000600867579877892,6.76247919182397,5.22791131169347,0.127853814750366,0.00018310546875,0.00018310546875,0.593836001188393,0.597464314138233,-1.50467978901174e-05,-1.47875281109445e-05,0,0,0.00132401270262592,0.00106806506772353,1.75300963671479e-06,1.14076298889126e-06,0.277668698980278,0.209785627714718,0.251960951123897,0.206664370318431,-0.511264700543988,-0.024680664771503,-0.429416302781813,0.256410352807804,2.33286098783145,2.14361875599639,2.22056461428331,2.6959666277968,-0.0401897653889607,-0.125936572676061,A,A3
0.001129150390625,0.001007080078125,0.000544711659850689,0.000877851783350531,7.31196763990881,5.26303287378308,0.0676077493657251,0.000244140625,0.000732421874999999,0.593731831283469,0.598623119820173,-1.50708616513968e-05,-1.53489331052243e-05,0,-3.0517578125e-05,0.00128963550307967,0.00104585790012318,1.66315973080356e-06,1.09381874725007e-06,0.340259064735497,0.140487490551277,0.222212168088152,0.281251933807904,0.101343272855686,0.0518691594411968,-0.507882772218035,-1.00599504268968,2.25373386359502,2.82604295007396,2.19131789996508,3.47904249840895,-0.135860116214244,-0.0294757728069169,A,A4
0.001129150390625,0.000946044921875,-0.000796949739668961,-0.000464343467606512,6.76957330617659,5.44473804259113,0.0924958702804661,6.10351562500001e-05,1.81470323742912e-18,0.594034121538644,0.598438440065872,-1.52908742302493e-05,-1.5565889953815e-05,0,-3.0517578125e-05,0.00117702039029336,0.000995885166469296,1.38537699916632e-06,9.91787264793577e-07,0.157535444660119,0.175985342256407,0.256909310150186,0.183379779971424,-1.0844978046891,-0.46671948019077,-0.639254802679022,0.428256421726796,3.59543779932044,2.37827727837637,2.33444333403015,1.98731517499839,-0.156211592761229,-0.230738577627213,A,A5
0.00115966796875,0.001007080078125,0.00220266889038113,-0.000619708468348503,6.34677795543952,5.33818496070593,0.0613662485372717,6.10351562499991e-05,0.000244140624999999,0.592940664974856,0.597127827145548,-1.57614566905727e-05,-1.53764346775809e-05,-3.0517578125e-05,0,0.00121138723737553,0.0010380076504438,1.46745903887631e-06,1.07745988237985e-06,0.252445049882412,0.405318136131259,0.334465067609423,0.32827596232948,0.377045396529387,-0.338269093242599,-0.104312584146989,-0.107161398045462,2.49942757872955,1.80230875058224,1.96528485616361,2.46051160326778,0.168867272547095,0.0931780886312718,A,A6
0.001190185546875,0.001068115234375,0.000948792288079763,0.000750942904919267,6.34468436817548,5.29009069727692,0.0864313759301934,0.00018310546875,0.000305175781249999,0.594149885481275,0.597610646307485,-1.55612760703469e-05,-1.55062784325566e-05,-3.0517578125e-05,-3.0517578125e-05,0.00125428033253055,0.00105214681586632,1.57321915257296e-06,1.10701292213764e-06,0.202974778121052,0.157247347973836,0.161899075050897,0.195367113049449,-0.0792682419088024,-1.04372859238584,0.201129258005571,0.271556541251354,3.20662294865363,3.58307263939081,2.43562765744263,2.96827017256157,0.250313691666916,0.212092214115299,A,A7
0.000946044921875,0.00091552734375,0.000100953568699667,0.000434213474806789,7.49897066945031,5.71794622790289,0.0993548846027374,0.000427246093749999,6.10351562500006e-05,0.578323439575572,0.581694287952408,-1.52387591477422e-05,-1.53081961855693e-05,0,-3.0517578125e-05,0.00119029062271857,0.000982661490035669,1.41679176653175e-06,9.65623603999122e-07,0.304911031109006,0.30515428218993,0.241344190525853,0.196482657808157,-0.511871535207541,0.592570247164694,0.513713900383199,-0.351428072465599,3.31714672638145,2.51483136423301,3.04459682532928,2.27888955521276,0.191600582574138,0.0437962325362331,A,A8
0.001312255859375,0.001129150390625,-0.000382105573519071,0.000227717667341322,6.19660753186495,5.50779958975374,0.0755146815793626,0.000122070312500002,0.000122070312500001,0.593199185095434,0.597245289434043,-1.48469664868428e-05,-1.48744213252199e-05,0,0,0.00139295348275446,0.00119979773641244,1.94031940511777e-06,1.43951460830041e-06,0.249830151241528,0.185365518346677,0.175313458771449,0.216101563334071,-0.0488835963911058,-0.712953571267109,-1.23384127205994,0.510437373941656,2.42155634465674,3.72237853536464,4.34449233384156,2.54258369927213,-0.24617568809967,-0.342428107527316,A,A9
0.001373291015625,0.001129150390625,-0.00114612646333542,-0.000512796027135706,7.3565378893935,5.42191197372446,0.0450320158670742,0.000244140625,6.10351562499998e-05,0.592434733175885,0.596746649572064,-1.49415331523641e-05,-1.50116955171057e-05,0,-3.0517578125e-05,0.00144764934352795,0.00117211263432338,2.09568862181691e-06,1.37384802754049e-06,0.224240120895056,0.242600413357903,0.321038754889393,0.18602959798808,-0.209370102070193,0.182297766300707,-0.577952759213424,0.114401101160456,2.44661398568489,2.54274763285752,2.09908483383482,2.31029804073613,-0.0235341522592574,-0.507697119652255,A,A10
